Ti,Al,Sn,Zr,Mo,Si,C,Nb,Hf,Ta,Cr,B,Mn,V,Co,Fe,Ni,W,Cu,Zn,Mg,Gd,Y,P,Ce,N,Er,Ca,Ge,Re,O,Ga,T,lnkp,,,,,,
84.2,5.8,2.1,4.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,-17.50439001,,,,,,
84.2,5.8,2.1,4.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,-16.3925325,,,,,,
84.2,5.8,2.1,4.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,-14.57053314,,,,,,
84.2,5.8,2.1,4.1,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-13.99583411,,,,,,
84.59,5.6,2,4,3.7,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,-17.77882686,,,,,,
84.59,5.6,2,4,3.7,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,-16.51857322,,,,,,
84.59,5.6,2,4,3.7,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,-15.10649474,,,,,,
84.59,5.6,2,4,3.7,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-14.10052951,,,,,,
84.18,5.7,2.1,4.1,3.7,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,-17.77882686,,,,,,
84.18,5.7,2.1,4.1,3.7,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,-16.68021457,,,,,,
84.18,5.7,2.1,4.1,3.7,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,-15.11746377,,,,,,
84.18,5.7,2.1,4.1,3.7,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,-14.22800028,,,,,,
67.42,10.13,11.17,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-15.60727003,,,,,,
67.42,10.13,11.17,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,-12.92169268,,,,,,
67.42,10.13,11.17,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-10.80598496,,,,,,
67.42,10.13,11.17,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950,-9.392661929,,,,,,
67.42,10.13,11.17,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-8.363042512,,,,,,
67.42,10.13,11.17,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,-7.400231764,,,,,,
73.79,13.86,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,-20.28143308,,,,,,
73.79,13.86,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,-19.60630441,,,,,,
73.79,13.86,0,0,0,0,12.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-19.36514235,,,,,,
81.94,6.01,2.55,6.24,1.84,0.19,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,-10.45590707,,,,,,
81.94,6.01,2.55,6.24,1.84,0.19,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,-10.61797187,,,,,,
